<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.08	00:00:00	1932.968	1935.461	1928.642	1930.913	11733	0	0
2022.04.08	04:00:00	1930.906	1932.828	1927.668	1931.785	12213	0	0
2022.04.08	08:00:00	1931.817	1934.527	1929.849	1933.560	13650	0	0
2022.04.08	12:00:00	1933.595	1948.146	1929.077	1941.531	38154	0	0
2022.04.08	16:00:00	1941.563	1944.715	1938.944	1944.137	13700	0	0
2022.04.08	20:00:00	1944.107	1947.868	1943.274	1947.868	1986	0	0
2022.04.10	20:00:00	1948.292	1950.000	1943.180	1944.606	4962	0	0
2022.04.11	00:00:00	1944.610	1947.704	1940.092	1942.894	13215	0	0
2022.04.11	04:00:00	1942.887	1946.850	1939.925	1945.716	15494	0	0
2022.04.11	08:00:00	1945.735	1961.474	1945.223	1960.582	22086	0	0
2022.04.11	12:00:00	1960.578	1969.585	1945.684	1951.347	40346	0	0
2022.04.11	16:00:00	1951.317	1954.583	1940.755	1953.830	17281	0	0
2022.04.11	20:00:00	1953.799	1955.745	1951.525	1952.799	5931	0	0
2022.04.12	00:00:00	1952.772	1959.092	1949.785	1959.059	13113	0	0
2022.04.12	04:00:00	1959.089	1960.446	1952.624	1953.295	15143	0	0
2022.04.12	08:00:00	1953.281	1957.259	1949.605	1956.604	15748	0	0
2022.04.12	12:00:00	1956.608	1978.253	1955.238	1970.558	43366	0	0
2022.04.12	16:00:00	1970.576	1975.877	1964.698	1968.903	20162	0	0
2022.04.12	20:00:00	1968.936	1968.951	1964.638	1965.922	5133	0	0
2022.04.13	00:00:00	1965.899	1972.219	1962.745	1969.863	14063	0	0
2022.04.13	04:00:00	1969.861	1973.503	1965.426	1971.153	15385	0	0
2022.04.13	08:00:00	1971.201	1980.171	1970.007	1977.994	17381	0	0
2022.04.13	12:00:00	1978.010	1981.532	1971.707	1980.919	30388	0	0
2022.04.13	16:00:00	1980.917	1981.498	1974.766	1978.061	15555	0	0
2022.04.13	20:00:00	1978.093	1979.089	1976.393	1977.083	4779	0	0
2022.04.14	00:00:00	1977.082	1980.198	1973.523	1973.660	12347	0	0
2022.04.14	04:00:00	1973.657	1978.007	1970.416	1975.379	14351	0	0
2022.04.14	08:00:00	1975.452	1979.024	1967.185	1977.134	17436	0	0
2022.04.14	12:00:00	1977.143	1979.865	1960.420	1966.773	35985	0	0
2022.04.14	16:00:00	1966.742	1974.917	1966.662	1971.530	14648	0	0
2022.04.14	20:00:00	1971.584	1973.488	1971.584	1973.111	1025	0	0
2022.04.17	20:00:00	1972.910	1987.767	1971.978	1986.477	7360	0	0
2022.04.18	00:00:00	1986.494	1988.503	1982.550	1984.809	16245	0	0
2022.04.18	04:00:00	1984.823	1992.504	1983.318	1991.492	15301	0	0
2022.04.18	08:00:00	1991.539	1993.833	1987.680	1991.917	13483	0	0
2022.04.18	12:00:00	1991.914	1998.178	1982.791	1988.946	30724	0	0
2022.04.18	16:00:00	1988.954	1990.551	1976.211	1978.261	18665	0	0
2022.04.18	20:00:00	1978.229	1978.950	1976.208	1977.131	6077	0	0
2022.04.19	00:00:00	1977.161	1978.839	1974.660	1978.646	13761	0	0
2022.04.19	04:00:00	1978.640	1980.677	1972.442	1977.899	15505	0	0
2022.04.19	08:00:00	1977.889	1981.150	1974.708	1980.054	16800	0	0
2022.04.19	12:00:00	1980.068	1981.760	1950.212	1956.393	44176	0	0
2022.04.19	16:00:00	1956.386	1958.211	1943.618	1948.115	17306	0	0
2022.04.19	20:00:00	1948.081	1951.513	1947.255	1949.718	7613	0	0
2022.04.20	00:00:00	1949.748	1950.108	1942.389	1944.037	18670	0	0
2022.04.20	04:00:00	1944.042	1946.654	1939.088	1943.768	18034	0	0
2022.04.20	08:00:00	1943.764	1955.068	1940.126	1952.109	20817	0	0
2022.04.20	12:00:00	1952.119	1954.556	1943.664	1950.894	30897	0	0
2022.04.20	16:00:00	1950.931	1958.061	1949.288	1957.911	16509	0	0
